GENESIS-Tabelle: 12613-0006;;;
Gestorbene: Deutschland; Monate; Geschlecht;
Statistik der Sterbefälle;;;
Deutschland;;;
Gestorbene (Anzahl);;;
;;männlich;weiblich
2019;Mai;37823;37846
2019;Juni;36921;36562
2019;Juli;38068;38858
2019;August;36342;37102
2019;September;35114;35908
2019;Oktober;38319;38687
2019;November;38900;39478
2019;Dezember;41414;41915
2020;Januar;42332;42648
2020;Februar;39776;40254
2020;März;43628;43768
2020;April;42048;41782
2020;Mai;38006;37829
2020;Juni;36311;35848
2020;Juli;37083;36712
2020;August;38960;39782
2020;September;36926;37317
2020;Oktober;40147;39634
2020;November;43342;42647
2020;Dezember;54238;54554
2021;Januar;53111;53692
2021;Februar;41388;40803
2021;März;41278;40623
2021;April;41868;40009
2021;Mai;41355;39521
2021;Juni;38951;37885
2021;Juli;38515;38189
2021;August;38069;38333
2021;September;39074;38857
2021;Oktober;42688;42392
2021;November;47299;46616
2021;Dezember;51963;51208
2022;Januar;43991;43598
2022;Februar;41504;41540
2022;März;46583;46552
2022;April;43160;42831
2022;Mai;...;...
2022;Juni;...;...
2022;Juli;...;...
2022;August;...;...
2022;September;...;...
2022;Oktober;...;...
2022;November;...;...
2022;Dezember;...;...
__________;;;
"Ohne Totgeborene, nachträglich beurkundete Kriegssterbefälle
und gerichtliche Todeserklärungen.";;;
© Statistisches Bundesamt (Destatis);2022;;
Stand: 17.07.2022 / 21:32:00;;;
